seats_x,is_trial_x,total_usage,avg_usage_duration,total_errors,beta_feature_used,ticket_count,avg_resolution_time,avg_first_response,avg_satisfaction,escalations,seats_y,mrr_amount,arr_amount,is_trial_y,upgrade_flag,downgrade_flag,auto_renew_flag,industry_DevTools,industry_EdTech,industry_FinTech,industry_HealthTech,country_CA,country_DE,country_FR,country_IN,country_UK,country_US,referral_source_event,referral_source_organic,referral_source_other,referral_source_partner,plan_tier_x_Enterprise,plan_tier_x_Pro,plan_tier_y_Enterprise,plan_tier_y_Pro,billing_frequency_monthly,churn_probability,health_score,risk_segment
33,False,796,3216.670731707317,34,True,4.0,30.75,85.75,3.0,0.0,33,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,0.02,98.0,Low Risk
1,False,567,3169.1272727272726,32,True,2.0,28.0,100.0,3.0,1.0,23,0,0,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,0.945,5.5,High Risk
1,False,506,3381.76,29,True,4.0,46.25,89.75,3.6666666666666665,0.0,59,11741,140892,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,True,0.015,98.5,Low Risk
43,False,398,2842.4358974358975,18,True,6.0,24.666666666666668,94.33333333333333,4.0,0.0,43,0,0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,0.015,98.5,Low Risk
12,False,420,2915.0476190476193,14,True,2.0,53.0,109.5,5.0,0.0,13,2587,31044,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,0.01,99.0,Low Risk
48,False,585,2745.8813559322034,24,True,4.0,52.25,115.5,4.666666666666667,1.0,49,931,11172,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,0.0,100.0,Low Risk
33,False,558,2998.285714285714,31,True,7.0,40.42857142857143,76.0,3.8,0.0,33,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,0.98,2.0,High Risk
20,False,362,2767.0810810810813,23,True,7.0,36.57142857142857,106.57142857142857,3.4,0.0,20,3980,47760,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,0.025,97.5,Low Risk
13,False,857,3224.9651162790697,64,True,7.0,17.714285714285715,58.57142857142857,4.5,1.0,20,980,11760,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,0.0,100.0,Low Risk
87,False,807,3395.65,71,True,4.0,29.5,38.0,4.0,0.0,87,17313,207756,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,0.0,100.0,Low Risk
29,False,432,3399.690476190476,26,True,3.0,42.0,81.0,5.0,0.0,29,5771,69252,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,True,0.025,97.5,Low Risk
19,False,650,2893.1612903225805,37,True,3.0,45.333333333333336,102.66666666666667,4.5,0.0,20,980,11760,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,0.005,99.5,Low Risk
163,False,271,2825.655172413793,25,True,4.0,37.5,105.5,3.0,0.0,163,0,0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,0.03,97.0,Low Risk
33,False,295,3532.8275862068967,22,True,4.0,17.0,65.25,3.75,0.0,33,627,7524,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,0.01,99.0,Low Risk
21,False,531,3163.4444444444443,42,True,2.0,24.5,30.5,4.0,0.0,26,0,0,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,0.055,94.5,Low Risk
12,False,773,3011.35,43,True,3.0,25.666666666666668,86.33333333333333,4.0,0.0,23,437,5244,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,0.01,99.0,Low Risk
70,True,363,2856.315789473684,22,True,3.0,36.333333333333336,60.0,5.0,1.0,70,1330,15960,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,0.06,94.0,Low Risk
59,False,562,2730.6545454545453,22,True,2.0,20.5,125.5,5.0,0.0,59,11741,140892,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,0.01,99.0,Low Risk
16,False,561,3093.589285714286,33,True,7.0,31.714285714285715,69.85714285714286,3.6666666666666665,0.0,16,304,3648,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,0.005,99.5,Low Risk
11,False,373,2999.076923076923,14,True,6.0,39.166666666666664,89.83333333333333,3.8,3.0,11,539,6468,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,0.01,99.0,Low Risk
32,False,551,3027.735849056604,24,True,3.0,4.666666666666667,122.33333333333333,4.0,0.0,32,0,0,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0.03,97.0,Low Risk
1,False,384,3948.4594594594596,28,True,4.0,29.25,91.0,3.0,0.0,4,76,912,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,0.005,99.5,Low Risk
41,True,619,2858.2096774193546,38,True,1.0,24.0,5.0,4.0,0.0,41,2009,24108,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,0.02,98.0,Low Risk
67,True,297,3382.0,16,True,2.0,28.0,89.0,4.5,0.0,67,3283,39396,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0.015,98.5,Low Risk
9,False,627,3003.7301587301586,29,True,4.0,40.0,63.25,4.666666666666667,1.0,9,171,2052,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,0.005,99.5,Low Risk
4,False,624,3119.3230769230768,40,True,5.0,20.2,119.8,4.0,0.0,17,0,0,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,0.015,98.5,Low Risk
18,False,336,3517.4545454545455,20,True,5.0,33.2,139.6,4.5,0.0,22,418,5016,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,0.035,96.5,Low Risk
5,True,537,2646.5283018867926,28,True,7.0,43.142857142857146,103.42857142857143,3.0,0.0,17,3383,40596,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,0.0,100.0,Low Risk
30,False,312,3370.375,14,True,5.0,22.2,94.0,3.6666666666666665,1.0,30,570,6840,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,0.005,99.5,Low Risk
1,False,528,2813.6603773584907,31,True,2.0,45.0,82.0,4.0,0.0,4,0,0,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,0.0,100.0,Low Risk
9,False,535,2769.8,38,True,2.0,23.0,91.0,3.0,0.0,102,1938,23256,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,0.01,99.0,Low Risk
24,True,268,3535.625,4,True,3.0,44.666666666666664,63.0,4.333333333333333,0.0,35,665,7980,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,0.925,7.5,High Risk
24,True,268,3535.625,4,True,3.0,44.666666666666664,63.0,4.333333333333333,0.0,24,4776,57312,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,True,0.83,17.0,High Risk
27,False,300,2819.3125,15,True,1.0,64.0,136.0,0.0,0.0,27,1323,15876,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,0.91,9.0,High Risk
9,False,627,3003.7301587301586,29,True,4.0,40.0,63.25,4.666666666666667,1.0,9,0,0,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,0.01,99.0,Low Risk
1,False,171,2713.55,5,True,3.0,18.333333333333332,85.33333333333333,0.0,0.0,7,133,1596,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.97,3.0,High Risk
2,True,510,3251.6170212765956,22,True,2.0,38.5,98.0,4.0,1.0,64,12736,152832,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,0.08,92.0,Low Risk
12,False,352,2841.7837837837837,19,True,5.0,33.0,45.2,4.0,0.0,26,5174,62088,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,0.915,8.5,High Risk
105,False,685,3119.4117647058824,30,True,2.0,38.5,75.0,3.5,0.0,105,0,0,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,0.005,99.5,Low Risk
10,True,478,3422.75,16,True,9.0,28.444444444444443,66.11111111111111,4.5,0.0,10,490,5880,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,0.96,4.0,High Risk
8,False,438,2842.0625,24,True,5.0,48.2,119.2,3.3333333333333335,1.0,8,152,1824,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,0.965,3.5,High Risk
30,True,640,3241.2419354838707,28,True,2.0,64.0,86.0,3.0,0.0,30,5970,71640,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,0.0,100.0,Low Risk
32,False,435,2965.3555555555554,33,True,4.0,39.0,94.5,5.0,0.0,32,1568,18816,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,True,0.985,1.5,High Risk
5,False,576,3032.2181818181816,37,True,6.0,36.833333333333336,86.16666666666667,3.25,0.0,22,418,5016,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.035,96.5,Low Risk
44,False,684,3045.8888888888887,28,True,3.0,17.333333333333332,84.66666666666667,4.5,1.0,44,2156,25872,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,0.0,100.0,Low Risk
46,False,511,3463.24,35,True,5.0,39.4,62.6,4.0,0.0,46,2254,27048,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,0.005,99.5,Low Risk
3,False,237,2791.1153846153848,24,True,3.0,47.666666666666664,75.33333333333333,4.333333333333333,0.0,12,228,2736,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,0.055,94.5,Low Risk
9,False,476,2754.188679245283,25,True,6.0,43.166666666666664,114.5,5.0,0.0,38,0,0,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,0.02,98.0,Low Risk
3,False,266,3580.6071428571427,20,True,4.0,31.5,101.0,4.5,0.0,5,95,1140,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,0.005,99.5,Low Risk
